TopicId,Sentiment,Keyword,Count
0,Detractor,br,1
0,Detractor,hair,1
0,Detractor,just,1
0,Detractor,like,1
0,Detractor,make,1
0,Detractor,product,1
0,Detractor,products,1
0,Detractor,sauce,1
0,Detractor,time,1
0,Detractor,use,1
0,Detractor,used,1
0,Detractor,water,1
0,Promoter,bars,1
0,Promoter,br,1
0,Promoter,chocolate,1
0,Promoter,flavor,1
0,Promoter,good,1
0,Promoter,great,1
0,Promoter,just,1
0,Promoter,like,1
0,Promoter,really,1
0,Promoter,sugar,1
0,Promoter,sweet,1
0,Promoter,taste,1
1,Detractor,amazon,1
1,Detractor,bag,1
1,Detractor,bags,1
1,Detractor,box,1
1,Detractor,buy,1
1,Detractor,chips,1
1,Detractor,cups,1
1,Detractor,order,1
1,Detractor,ordered,1
1,Detractor,price,1
1,Detractor,product,1
1,Detractor,received,1
1,Promoter,br,1
1,Promoter,cat,1
1,Promoter,cats,1
1,Promoter,dog,1
1,Promoter,dogs,1
1,Promoter,eat,1
1,Promoter,food,1
1,Promoter,great,1
1,Promoter,like,1
1,Promoter,love,1
1,Promoter,loves,1
1,Promoter,treats,1
2,Detractor,bars,1
2,Detractor,box,1
2,Detractor,br,1
2,Detractor,candy,1
2,Detractor,chocolate,1
2,Detractor,cookies,1
2,Detractor,good,1
2,Detractor,just,1
2,Detractor,like,1
2,Detractor,product,1
2,Detractor,stale,1
2,Detractor,taste,1
2,Promoter,best,1
2,Promoter,br,1
2,Promoter,chips,1
2,Promoter,cookies,1
2,Promoter,flavor,1
2,Promoter,free,1
2,Promoter,good,1
2,Promoter,great,1
2,Promoter,just,1
2,Promoter,like,1
2,Promoter,love,1
2,Promoter,taste,1
3,Detractor,didn,1
3,Detractor,don,1
3,Detractor,eat,1
3,Detractor,eating,1
3,Detractor,food,1
3,Detractor,good,1
3,Detractor,just,1
3,Detractor,like,1
3,Detractor,really,1
3,Detractor,taste,1
3,Detractor,tried,1
3,Detractor,try,1
3,Promoter,br,1
3,Promoter,drink,1
3,Promoter,flavor,1
3,Promoter,good,1
3,Promoter,great,1
3,Promoter,green,1
3,Promoter,hot,1
3,Promoter,like,1
3,Promoter,love,1
3,Promoter,taste,1
3,Promoter,tea,1
3,Promoter,teas,1
4,Detractor,br,1
4,Detractor,cat,1
4,Detractor,cats,1
4,Detractor,chicken,1
4,Detractor,china,1
4,Detractor,dog,1
4,Detractor,dogs,1
4,Detractor,food,1
4,Detractor,jerky,1
4,Detractor,product,1
4,Detractor,treat,1
4,Detractor,treats,1
4,Promoter,amazon,1
4,Promoter,best,1
4,Promoter,coffee,1
4,Promoter,cup,1
4,Promoter,flavor,1
4,Promoter,good,1
4,Promoter,great,1
4,Promoter,like,1
4,Promoter,love,1
4,Promoter,price,1
4,Promoter,product,1
4,Promoter,taste,1
5,Detractor,bad,1
5,Detractor,coconut,1
5,Detractor,coffee,1
5,Detractor,cup,1
5,Detractor,don,1
5,Detractor,flavor,1
5,Detractor,good,1
5,Detractor,just,1
5,Detractor,like,1
5,Detractor,product,1
5,Detractor,taste,1
5,Detractor,water,1
5,Promoter,bag,1
5,Promoter,box,1
5,Promoter,br,1
5,Promoter,good,1
5,Promoter,hot,1
5,Promoter,just,1
5,Promoter,like,1
5,Promoter,product,1
5,Promoter,salt,1
5,Promoter,sauce,1
5,Promoter,use,1
5,Promoter,water,1
6,Detractor,br,1
6,Detractor,drink,1
6,Detractor,flavor,1
6,Detractor,good,1
6,Detractor,just,1
6,Detractor,like,1
6,Detractor,sugar,1
6,Detractor,sweet,1
6,Detractor,taste,1
6,Detractor,tastes,1
6,Detractor,tea,1
6,Detractor,tried,1
6,Promoter,bread,1
6,Promoter,butter,1
6,Promoter,coconut,1
6,Promoter,good,1
6,Promoter,great,1
6,Promoter,like,1
6,Promoter,oil,1
6,Promoter,popcorn,1
6,Promoter,product,1
6,Promoter,taste,1
6,Promoter,use,1
6,Promoter,used,1
7,Detractor,amazon,1
7,Detractor,br,1
7,Detractor,com,1
7,Detractor,corn,1
7,Detractor,free,1
7,Detractor,ingredient,1
7,Detractor,ingredients,1
7,Detractor,natural,1
7,Detractor,oil,1
7,Detractor,organic,1
7,Detractor,product,1
7,Detractor,sugar,1
7,Promoter,dog,1
7,Promoter,dogs,1
7,Promoter,good,1
7,Promoter,great,1
7,Promoter,just,1
7,Promoter,like,1
7,Promoter,love,1
7,Promoter,loves,1
7,Promoter,product,1
7,Promoter,time,1
7,Promoter,treat,1
7,Promoter,treats,1
